start_node,end_node,500_cars,1000_cars,2000_cars
170424926,1199905289,398570,447040,576070
170424926,2114250,419070,444740,542180
170424926,2114253,410970,453580,564700
170424926,80041651,404440,441430,541860
170425961,1199905289,420470,453320,544150
170425961,2114250,423860,443500,533280
170425961,2114253,421850,435940,539880
170425961,80041651,399220,450070,555110
28961405,1199905289,409720,441690,527970
28961405,2114250,414000,447560,520660
28961405,2114253,393170,447390,536280
28961405,80041651,401790,443810,553050
329026137,1199905289,417620,440940,553870
329026137,2114250,424000,440600,533280
329026137,2114253,407270,439130,531330
329026137,80041651,412490,441830,536610
0,0,400872,471644,545545
